TransData v2.3
Copyright (c) 2001-2011 by George Moromisato. All Rights Reserved.

Loading...done.
pass 1...
pass 2...
pass 3...
pass 4...
pass 5...
pass 6...
pass 7...
pass 8...
pass 9...
pass 10...
LABEL STATISTICS

Total labels: 300.00
ancientEnv,TorQuanRace,JaxRace: 1.80 (0.60%)
ancientEnv,TorQuanRace,JaxRace,level11: 0.50 (0.16%)
ancientEnv,TorQuanRace,JaxRace,level12: 0.80 (0.26%)
ancientEnv,TorQuanRace,JaxRace,level13: 0.20 (0.06%)
ancientEnv,TorQuanRace,level11: 1.60 (0.53%)
ancientEnv,TorQuanRace,level12: 1.90 (0.63%)
ancientEnv,TorQuanRace,level13: 0.50 (0.16%)
ancientEnv,TorQuanRace,level14: 0.20 (0.06%)
ancientEnv,TorQuanRace,level15: 0.10 (0.03%)
ancientEnv,TorQuanRace,ReenuRace: 1.10 (0.36%)
ancientEnv,TorQuanRace,ReenuRace,level11: 0.10 (0.03%)
ancientEnv,TorQuanRace,ReenuRace,level12: 0.50 (0.16%)
ancientEnv,TorQuanRace,ReenuRace,level13: 0.20 (0.06%)
ancientEnv,TorQuanRace,ReenuRace,level14: 0.20 (0.06%)
ancientEnv,TorQuanRace,ReenuRace,level15: 0.10 (0.03%)
asymorphEco: 50.00 (16.66%)
asymorphEco,EfreetRace: 13.70 (4.56%)
asymorphEco,EfreetRace,GromeRace: 4.80 (1.60%)
asymorphEco,EfreetRace,GromeRace,level11: 1.20 (0.40%)
asymorphEco,EfreetRace,GromeRace,level12: 2.60 (0.86%)
asymorphEco,EfreetRace,GromeRace,level13: 1.00 (0.33%)
asymorphEco,EfreetRace,JaxRace: 5.20 (1.73%)
asymorphEco,EfreetRace,JaxRace,level11: 1.90 (0.63%)
asymorphEco,EfreetRace,JaxRace,level12: 1.90 (0.63%)
asymorphEco,EfreetRace,JaxRace,level13: 0.40 (0.13%)
asymorphEco,EfreetRace,JaxRace,level14: 0.70 (0.23%)
asymorphEco,EfreetRace,level11: 4.20 (1.40%)
asymorphEco,EfreetRace,level12: 5.70 (1.90%)
asymorphEco,EfreetRace,level13: 2.40 (0.80%)
asymorphEco,EfreetRace,level14: 1.00 (0.33%)
asymorphEco,EfreetRace,ReenuRace: 3.20 (1.06%)
asymorphEco,EfreetRace,ReenuRace,level11: 1.00 (0.33%)
asymorphEco,EfreetRace,ReenuRace,level12: 0.90 (0.30%)
asymorphEco,EfreetRace,ReenuRace,level13: 0.90 (0.30%)
asymorphEco,EfreetRace,ReenuRace,level14: 0.30 (0.10%)
asymorphEco,ErebienRace: 16.60 (5.53%)
asymorphEco,ErebienRace,GromeRace: 5.40 (1.80%)
asymorphEco,ErebienRace,GromeRace,level11: 1.70 (0.56%)
asymorphEco,ErebienRace,GromeRace,level12: 2.00 (0.66%)
asymorphEco,ErebienRace,GromeRace,level13: 0.80 (0.26%)
asymorphEco,ErebienRace,GromeRace,level14: 0.30 (0.10%)
asymorphEco,ErebienRace,JaxRace: 6.50 (2.16%)
asymorphEco,ErebienRace,JaxRace,level11: 2.70 (0.90%)
asymorphEco,ErebienRace,JaxRace,level12: 2.10 (0.70%)
asymorphEco,ErebienRace,JaxRace,level13: 0.80 (0.26%)
asymorphEco,ErebienRace,JaxRace,level14: 0.20 (0.06%)
asymorphEco,ErebienRace,level11: 5.40 (1.80%)
asymorphEco,ErebienRace,level12: 5.20 (1.73%)
asymorphEco,ErebienRace,level13: 3.50 (1.16%)
asymorphEco,ErebienRace,level14: 1.00 (0.33%)
asymorphEco,ErebienRace,ReenuRace: 4.00 (1.33%)
asymorphEco,ErebienRace,ReenuRace,level11: 1.00 (0.33%)
asymorphEco,ErebienRace,ReenuRace,level12: 0.90 (0.30%)
asymorphEco,ErebienRace,ReenuRace,level13: 1.60 (0.53%)
asymorphEco,ErebienRace,ReenuRace,level14: 0.30 (0.10%)
asymorphEco,GromeRace: 16.60 (5.53%)
asymorphEco,GromeRace,level11: 5.70 (1.90%)
asymorphEco,GromeRace,level12: 5.80 (1.93%)
asymorphEco,GromeRace,level13: 2.90 (0.96%)
asymorphEco,GromeRace,level14: 0.40 (0.13%)
asymorphEco,JaxRace: 20.60 (6.86%)
asymorphEco,JaxRace,level11: 8.10 (2.70%)
asymorphEco,JaxRace,level12: 5.00 (1.66%)
asymorphEco,JaxRace,level13: 2.60 (0.86%)
asymorphEco,JaxRace,level14: 0.90 (0.30%)
asymorphEco,level11: 17.50 (5.83%)
asymorphEco,level12: 14.50 (4.83%)
asymorphEco,level13: 9.20 (3.06%)
asymorphEco,level14: 2.10 (0.70%)
asymorphEco,ReenuRace: 11.60 (3.86%)
asymorphEco,ReenuRace,level11: 3.60 (1.20%)
asymorphEco,ReenuRace,level12: 3.20 (1.06%)
asymorphEco,ReenuRace,level13: 3.30 (1.10%)
asymorphEco,ReenuRace,level14: 0.60 (0.20%)
asymorphEco,TesiphonRace: 6.20 (2.06%)
asymorphEco,TesiphonRace,GromeRace: 1.10 (0.36%)
asymorphEco,TesiphonRace,GromeRace,level11: 0.50 (0.16%)
asymorphEco,TesiphonRace,GromeRace,level12: 0.20 (0.06%)
asymorphEco,TesiphonRace,GromeRace,level13: 0.20 (0.06%)
asymorphEco,TesiphonRace,JaxRace: 3.40 (1.13%)
asymorphEco,TesiphonRace,JaxRace,level11: 1.60 (0.53%)
asymorphEco,TesiphonRace,JaxRace,level12: 0.40 (0.13%)
asymorphEco,TesiphonRace,JaxRace,level13: 0.10 (0.03%)
asymorphEco,TesiphonRace,level11: 2.60 (0.86%)
asymorphEco,TesiphonRace,level12: 1.30 (0.43%)
asymorphEco,TesiphonRace,level13: 0.60 (0.20%)
asymorphEco,TesiphonRace,ReenuRace: 1.70 (0.56%)
asymorphEco,TesiphonRace,ReenuRace,level11: 0.50 (0.16%)
asymorphEco,TesiphonRace,ReenuRace,level12: 0.70 (0.23%)
asymorphEco,TesiphonRace,ReenuRace,level13: 0.30 (0.10%)
asymorphEco,TorQuanRace: 13.50 (4.50%)
asymorphEco,TorQuanRace,GromeRace: 5.30 (1.76%)
asymorphEco,TorQuanRace,GromeRace,level11: 2.30 (0.76%)
asymorphEco,TorQuanRace,GromeRace,level12: 1.00 (0.33%)
asymorphEco,TorQuanRace,GromeRace,level13: 0.90 (0.30%)
asymorphEco,TorQuanRace,GromeRace,level14: 0.10 (0.03%)
asymorphEco,TorQuanRace,JaxRace: 5.50 (1.83%)
asymorphEco,TorQuanRace,JaxRace,level11: 1.90 (0.63%)
asymorphEco,TorQuanRace,JaxRace,level12: 0.60 (0.20%)
asymorphEco,TorQuanRace,JaxRace,level13: 1.30 (0.43%)
asymorphEco,TorQuanRace,level11: 5.30 (1.76%)
asymorphEco,TorQuanRace,level12: 2.30 (0.76%)
asymorphEco,TorQuanRace,level13: 2.70 (0.90%)
asymorphEco,TorQuanRace,level14: 0.10 (0.03%)
asymorphEco,TorQuanRace,ReenuRace: 2.70 (0.90%)
asymorphEco,TorQuanRace,ReenuRace,level11: 1.10 (0.36%)
asymorphEco,TorQuanRace,ReenuRace,level12: 0.70 (0.23%)
asymorphEco,TorQuanRace,ReenuRace,level13: 0.50 (0.16%)
CentaurusArm: 111.80 (37.26%)
CentaurusArm,ancientEnv: 16.80 (5.60%)
CentaurusArm,droughtEnv: 18.50 (6.16%)
CentaurusArm,inorganicEnv: 17.50 (5.83%)
CentaurusArm,metallicEnv: 19.00 (6.33%)
CentaurusArm,organicEnv: 19.30 (6.43%)
CentaurusArm,waterEnv: 20.70 (6.90%)
chitometallicEco: 25.70 (8.56%)
chitometallicEco,EfreetRace: 5.10 (1.70%)
chitometallicEco,EfreetRace,GromeRace: 2.10 (0.70%)
chitometallicEco,EfreetRace,GromeRace,level11: 0.70 (0.23%)
chitometallicEco,EfreetRace,GromeRace,level12: 1.00 (0.33%)
chitometallicEco,EfreetRace,GromeRace,level13: 0.20 (0.06%)
chitometallicEco,EfreetRace,GromeRace,level14: 0.20 (0.06%)
chitometallicEco,EfreetRace,JaxRace: 2.10 (0.70%)
chitometallicEco,EfreetRace,JaxRace,level11: 1.10 (0.36%)
chitometallicEco,EfreetRace,JaxRace,level12: 0.40 (0.13%)
chitometallicEco,EfreetRace,JaxRace,level13: 0.40 (0.13%)
chitometallicEco,EfreetRace,level11: 1.90 (0.63%)
chitometallicEco,EfreetRace,level12: 1.80 (0.60%)
chitometallicEco,EfreetRace,level13: 0.90 (0.30%)
chitometallicEco,EfreetRace,level14: 0.20 (0.06%)
chitometallicEco,EfreetRace,ReenuRace: 0.80 (0.26%)
chitometallicEco,EfreetRace,ReenuRace,level11: 0.10 (0.03%)
chitometallicEco,EfreetRace,ReenuRace,level12: 0.30 (0.10%)
chitometallicEco,EfreetRace,ReenuRace,level13: 0.30 (0.10%)
chitometallicEco,ErebienRace: 8.90 (2.96%)
chitometallicEco,ErebienRace,GromeRace: 2.40 (0.80%)
chitometallicEco,ErebienRace,GromeRace,level11: 1.00 (0.33%)
chitometallicEco,ErebienRace,GromeRace,level12: 0.90 (0.30%)
chitometallicEco,ErebienRace,GromeRace,level13: 0.40 (0.13%)
chitometallicEco,ErebienRace,GromeRace,level14: 0.10 (0.03%)
chitometallicEco,ErebienRace,JaxRace: 3.90 (1.30%)
chitometallicEco,ErebienRace,JaxRace,level11: 1.00 (0.33%)
chitometallicEco,ErebienRace,JaxRace,level12: 1.40 (0.46%)
chitometallicEco,ErebienRace,JaxRace,level13: 0.60 (0.20%)
chitometallicEco,ErebienRace,JaxRace,level14: 0.50 (0.16%)
chitometallicEco,ErebienRace,level11: 2.50 (0.83%)
chitometallicEco,ErebienRace,level12: 3.50 (1.16%)
chitometallicEco,ErebienRace,level13: 1.60 (0.53%)
chitometallicEco,ErebienRace,level14: 0.90 (0.30%)
chitometallicEco,ErebienRace,ReenuRace: 2.60 (0.86%)
chitometallicEco,ErebienRace,ReenuRace,level11: 0.50 (0.16%)
chitometallicEco,ErebienRace,ReenuRace,level12: 1.20 (0.40%)
chitometallicEco,ErebienRace,ReenuRace,level13: 0.60 (0.20%)
chitometallicEco,ErebienRace,ReenuRace,level14: 0.30 (0.10%)
chitometallicEco,GromeRace: 9.10 (3.03%)
chitometallicEco,GromeRace,level11: 3.10 (1.03%)
chitometallicEco,GromeRace,level12: 3.20 (1.06%)
chitometallicEco,GromeRace,level13: 1.60 (0.53%)
chitometallicEco,GromeRace,level14: 0.50 (0.16%)
chitometallicEco,JaxRace: 8.80 (2.93%)
chitometallicEco,JaxRace,level11: 3.40 (1.13%)
chitometallicEco,JaxRace,level12: 2.30 (0.76%)
chitometallicEco,JaxRace,level13: 1.50 (0.50%)
chitometallicEco,JaxRace,level14: 0.50 (0.16%)
chitometallicEco,level11: 8.30 (2.76%)
chitometallicEco,level12: 8.40 (2.80%)
chitometallicEco,level13: 4.80 (1.60%)
chitometallicEco,level14: 1.70 (0.56%)
chitometallicEco,level15: 0.10 (0.03%)
chitometallicEco,ReenuRace: 7.70 (2.56%)
chitometallicEco,ReenuRace,level11: 1.80 (0.60%)
chitometallicEco,ReenuRace,level12: 2.80 (0.93%)
chitometallicEco,ReenuRace,level13: 1.70 (0.56%)
chitometallicEco,ReenuRace,level14: 0.70 (0.23%)
chitometallicEco,ReenuRace,level15: 0.10 (0.03%)
chitometallicEco,TesiphonRace: 2.50 (0.83%)
chitometallicEco,TesiphonRace,GromeRace: 0.90 (0.30%)
chitometallicEco,TesiphonRace,GromeRace,level11: 0.70 (0.23%)
chitometallicEco,TesiphonRace,GromeRace,level12: 0.20 (0.06%)
chitometallicEco,TesiphonRace,JaxRace: 1.10 (0.36%)
chitometallicEco,TesiphonRace,JaxRace,level11: 0.50 (0.16%)
chitometallicEco,TesiphonRace,JaxRace,level12: 0.20 (0.06%)
chitometallicEco,TesiphonRace,JaxRace,level13: 0.10 (0.03%)
chitometallicEco,TesiphonRace,level11: 1.20 (0.40%)
chitometallicEco,TesiphonRace,level12: 0.50 (0.16%)
chitometallicEco,TesiphonRace,level13: 0.20 (0.06%)
chitometallicEco,TesiphonRace,ReenuRace: 0.50 (0.16%)
chitometallicEco,TesiphonRace,ReenuRace,level12: 0.10 (0.03%)
chitometallicEco,TesiphonRace,ReenuRace,level13: 0.10 (0.03%)
chitometallicEco,TorQuanRace: 9.20 (3.06%)
chitometallicEco,TorQuanRace,GromeRace: 3.70 (1.23%)
chitometallicEco,TorQuanRace,GromeRace,level11: 0.70 (0.23%)
chitometallicEco,TorQuanRace,GromeRace,level12: 1.10 (0.36%)
chitometallicEco,TorQuanRace,GromeRace,level13: 1.00 (0.33%)
chitometallicEco,TorQuanRace,GromeRace,level14: 0.20 (0.06%)
chitometallicEco,TorQuanRace,JaxRace: 1.70 (0.56%)
chitometallicEco,TorQuanRace,JaxRace,level11: 0.80 (0.26%)
chitometallicEco,TorQuanRace,JaxRace,level12: 0.30 (0.10%)
chitometallicEco,TorQuanRace,JaxRace,level13: 0.40 (0.13%)
chitometallicEco,TorQuanRace,level11: 2.70 (0.90%)
chitometallicEco,TorQuanRace,level12: 2.60 (0.86%)
chitometallicEco,TorQuanRace,level13: 2.10 (0.70%)
chitometallicEco,TorQuanRace,level14: 0.60 (0.20%)
chitometallicEco,TorQuanRace,level15: 0.10 (0.03%)
chitometallicEco,TorQuanRace,ReenuRace: 3.80 (1.26%)
chitometallicEco,TorQuanRace,ReenuRace,level11: 1.20 (0.40%)
chitometallicEco,TorQuanRace,ReenuRace,level12: 1.20 (0.40%)
chitometallicEco,TorQuanRace,ReenuRace,level13: 0.70 (0.23%)
chitometallicEco,TorQuanRace,ReenuRace,level14: 0.40 (0.13%)
chitometallicEco,TorQuanRace,ReenuRace,level15: 0.10 (0.03%)
coreEnv: 6.00 (2.00%)
coreEnv,GalacticCore: 6.00 (2.00%)
crystallineEco: 31.70 (10.56%)
crystallineEco,EfreetRace: 7.50 (2.50%)
crystallineEco,EfreetRace,GromeRace: 2.20 (0.73%)
crystallineEco,EfreetRace,GromeRace,level11: 0.90 (0.30%)
crystallineEco,EfreetRace,GromeRace,level12: 0.80 (0.26%)
crystallineEco,EfreetRace,GromeRace,level13: 0.40 (0.13%)
crystallineEco,EfreetRace,JaxRace: 1.10 (0.36%)
crystallineEco,EfreetRace,JaxRace,level11: 0.30 (0.10%)
crystallineEco,EfreetRace,JaxRace,level12: 0.30 (0.10%)
crystallineEco,EfreetRace,JaxRace,level13: 0.10 (0.03%)
crystallineEco,EfreetRace,JaxRace,level14: 0.40 (0.13%)
crystallineEco,EfreetRace,level11: 1.90 (0.63%)
crystallineEco,EfreetRace,level12: 2.50 (0.83%)
crystallineEco,EfreetRace,level13: 1.60 (0.53%)
crystallineEco,EfreetRace,level14: 0.90 (0.30%)
crystallineEco,EfreetRace,level15: 0.20 (0.06%)
crystallineEco,EfreetRace,ReenuRace: 4.00 (1.33%)
crystallineEco,EfreetRace,ReenuRace,level11: 0.70 (0.23%)
crystallineEco,EfreetRace,ReenuRace,level12: 1.30 (0.43%)
crystallineEco,EfreetRace,ReenuRace,level13: 1.10 (0.36%)
crystallineEco,EfreetRace,ReenuRace,level14: 0.40 (0.13%)
crystallineEco,EfreetRace,ReenuRace,level15: 0.20 (0.06%)
crystallineEco,ErebienRace: 8.90 (2.96%)
crystallineEco,ErebienRace,GromeRace: 3.40 (1.13%)
crystallineEco,ErebienRace,GromeRace,level11: 0.90 (0.30%)
crystallineEco,ErebienRace,GromeRace,level12: 1.60 (0.53%)
crystallineEco,ErebienRace,GromeRace,level13: 0.50 (0.16%)
crystallineEco,ErebienRace,GromeRace,level14: 0.30 (0.10%)
crystallineEco,ErebienRace,JaxRace: 1.90 (0.63%)
crystallineEco,ErebienRace,JaxRace,level11: 0.60 (0.20%)
crystallineEco,ErebienRace,JaxRace,level12: 1.00 (0.33%)
crystallineEco,ErebienRace,JaxRace,level13: 0.20 (0.06%)
crystallineEco,ErebienRace,JaxRace,level14: 0.10 (0.03%)
crystallineEco,ErebienRace,level11: 2.40 (0.80%)
crystallineEco,ErebienRace,level12: 3.80 (1.26%)
crystallineEco,ErebienRace,level13: 1.50 (0.50%)
crystallineEco,ErebienRace,level14: 1.00 (0.33%)
crystallineEco,ErebienRace,ReenuRace: 3.50 (1.16%)
crystallineEco,ErebienRace,ReenuRace,level11: 0.90 (0.30%)
crystallineEco,ErebienRace,ReenuRace,level12: 1.20 (0.40%)
crystallineEco,ErebienRace,ReenuRace,level13: 0.80 (0.26%)
crystallineEco,ErebienRace,ReenuRace,level14: 0.50 (0.16%)
crystallineEco,GromeRace: 11.70 (3.90%)
crystallineEco,GromeRace,level11: 3.80 (1.26%)
crystallineEco,GromeRace,level12: 4.80 (1.60%)
crystallineEco,GromeRace,level13: 2.00 (0.66%)
crystallineEco,GromeRace,level14: 0.40 (0.13%)
crystallineEco,JaxRace: 6.70 (2.23%)
crystallineEco,JaxRace,level11: 1.90 (0.63%)
crystallineEco,JaxRace,level12: 2.80 (0.93%)
crystallineEco,JaxRace,level13: 0.80 (0.26%)
crystallineEco,JaxRace,level14: 0.50 (0.16%)
crystallineEco,level11: 8.60 (2.86%)
crystallineEco,level12: 12.60 (4.20%)
crystallineEco,level13: 5.30 (1.76%)
crystallineEco,level14: 2.30 (0.76%)
crystallineEco,level15: 0.30 (0.10%)
crystallineEco,ReenuRace: 13.00 (4.33%)
crystallineEco,ReenuRace,level11: 2.90 (0.96%)
crystallineEco,ReenuRace,level12: 4.90 (1.63%)
crystallineEco,ReenuRace,level13: 2.50 (0.83%)
crystallineEco,ReenuRace,level14: 1.20 (0.40%)
crystallineEco,ReenuRace,level15: 0.30 (0.10%)
crystallineEco,TesiphonRace: 3.30 (1.10%)
crystallineEco,TesiphonRace,GromeRace: 1.30 (0.43%)
crystallineEco,TesiphonRace,GromeRace,level11: 0.50 (0.16%)
crystallineEco,TesiphonRace,GromeRace,level12: 0.20 (0.06%)
crystallineEco,TesiphonRace,GromeRace,level13: 0.20 (0.06%)
crystallineEco,TesiphonRace,JaxRace: 0.80 (0.26%)
crystallineEco,TesiphonRace,JaxRace,level11: 0.30 (0.10%)
crystallineEco,TesiphonRace,JaxRace,level13: 0.20 (0.06%)
crystallineEco,TesiphonRace,level11: 1.10 (0.36%)
crystallineEco,TesiphonRace,level12: 0.70 (0.23%)
crystallineEco,TesiphonRace,level13: 0.60 (0.20%)
crystallineEco,TesiphonRace,ReenuRace: 1.20 (0.40%)
crystallineEco,TesiphonRace,ReenuRace,level11: 0.30 (0.10%)
crystallineEco,TesiphonRace,ReenuRace,level12: 0.50 (0.16%)
crystallineEco,TesiphonRace,ReenuRace,level13: 0.20 (0.06%)
crystallineEco,TorQuanRace: 12.00 (4.00%)
crystallineEco,TorQuanRace,GromeRace: 4.80 (1.60%)
crystallineEco,TorQuanRace,GromeRace,level11: 1.50 (0.50%)
crystallineEco,TorQuanRace,GromeRace,level12: 2.20 (0.73%)
crystallineEco,TorQuanRace,GromeRace,level13: 0.90 (0.30%)
crystallineEco,TorQuanRace,GromeRace,level14: 0.10 (0.03%)
crystallineEco,TorQuanRace,JaxRace: 2.90 (0.96%)
crystallineEco,TorQuanRace,JaxRace,level11: 0.70 (0.23%)
crystallineEco,TorQuanRace,JaxRace,level12: 1.50 (0.50%)
crystallineEco,TorQuanRace,JaxRace,level13: 0.30 (0.10%)
crystallineEco,TorQuanRace,level11: 3.20 (1.06%)
crystallineEco,TorQuanRace,level12: 5.60 (1.86%)
crystallineEco,TorQuanRace,level13: 1.60 (0.53%)
crystallineEco,TorQuanRace,level14: 0.40 (0.13%)
crystallineEco,TorQuanRace,level15: 0.10 (0.03%)
crystallineEco,TorQuanRace,ReenuRace: 4.30 (1.43%)
crystallineEco,TorQuanRace,ReenuRace,level11: 1.00 (0.33%)
crystallineEco,TorQuanRace,ReenuRace,level12: 1.90 (0.63%)
crystallineEco,TorQuanRace,ReenuRace,level13: 0.40 (0.13%)
crystallineEco,TorQuanRace,ReenuRace,level14: 0.30 (0.10%)
crystallineEco,TorQuanRace,ReenuRace,level15: 0.10 (0.03%)
droughtEnv: 42.10 (14.03%)
droughtEnv,asymorphEco: 2.80 (0.93%)
droughtEnv,asymorphEco,EfreetRace: 1.20 (0.40%)
droughtEnv,asymorphEco,EfreetRace,GromeRace: 0.20 (0.06%)
droughtEnv,asymorphEco,EfreetRace,GromeRace,level11: 0.10 (0.03%)
droughtEnv,asymorphEco,EfreetRace,GromeRace,level12: 0.10 (0.03%)
droughtEnv,asymorphEco,EfreetRace,JaxRace: 0.50 (0.16%)
droughtEnv,asymorphEco,EfreetRace,JaxRace,level12: 0.30 (0.10%)
droughtEnv,asymorphEco,EfreetRace,JaxRace,level13: 0.10 (0.03%)
droughtEnv,asymorphEco,EfreetRace,JaxRace,level14: 0.10 (0.03%)
droughtEnv,asymorphEco,EfreetRace,level11: 0.30 (0.10%)
droughtEnv,asymorphEco,EfreetRace,level12: 0.50 (0.16%)
droughtEnv,asymorphEco,EfreetRace,level13: 0.20 (0.06%)
droughtEnv,asymorphEco,EfreetRace,level14: 0.10 (0.03%)
droughtEnv,asymorphEco,EfreetRace,ReenuRace: 0.50 (0.16%)
droughtEnv,asymorphEco,EfreetRace,ReenuRace,level11: 0.20 (0.06%)
droughtEnv,asymorphEco,EfreetRace,ReenuRace,level12: 0.10 (0.03%)
droughtEnv,asymorphEco,EfreetRace,ReenuRace,level13: 0.10 (0.03%)
droughtEnv,asymorphEco,ErebienRace: 0.70 (0.23%)
droughtEnv,asymorphEco,ErebienRace,GromeRace: 0.10 (0.03%)
droughtEnv,asymorphEco,ErebienRace,GromeRace,level13: 0.10 (0.03%)
droughtEnv,asymorphEco,ErebienRace,JaxRace: 0.20 (0.06%)
droughtEnv,asymorphEco,ErebienRace,JaxRace,level11: 0.10 (0.03%)
droughtEnv,asymorphEco,ErebienRace,JaxRace,level12: 0.10 (0.03%)
droughtEnv,asymorphEco,ErebienRace,level11: 0.10 (0.03%)
droughtEnv,asymorphEco,ErebienRace,level12: 0.30 (0.10%)
droughtEnv,asymorphEco,ErebienRace,level13: 0.20 (0.06%)
droughtEnv,asymorphEco,ErebienRace,ReenuRace: 0.40 (0.13%)
droughtEnv,asymorphEco,ErebienRace,ReenuRace,level12: 0.20 (0.06%)
droughtEnv,asymorphEco,ErebienRace,ReenuRace,level13: 0.10 (0.03%)
droughtEnv,asymorphEco,GromeRace: 0.80 (0.26%)
droughtEnv,asymorphEco,GromeRace,level11: 0.30 (0.10%)
droughtEnv,asymorphEco,GromeRace,level12: 0.40 (0.13%)
droughtEnv,asymorphEco,GromeRace,level13: 0.10 (0.03%)
droughtEnv,asymorphEco,JaxRace: 0.70 (0.23%)
droughtEnv,asymorphEco,JaxRace,level11: 0.10 (0.03%)
droughtEnv,asymorphEco,JaxRace,level12: 0.40 (0.13%)
droughtEnv,asymorphEco,JaxRace,level13: 0.10 (0.03%)
droughtEnv,asymorphEco,JaxRace,level14: 0.10 (0.03%)
droughtEnv,asymorphEco,level11: 0.80 (0.26%)
droughtEnv,asymorphEco,level12: 1.20 (0.40%)
droughtEnv,asymorphEco,level13: 0.40 (0.13%)
droughtEnv,asymorphEco,level14: 0.10 (0.03%)
droughtEnv,asymorphEco,ReenuRace: 1.30 (0.43%)
droughtEnv,asymorphEco,ReenuRace,level11: 0.40 (0.13%)
droughtEnv,asymorphEco,ReenuRace,level12: 0.40 (0.13%)
droughtEnv,asymorphEco,ReenuRace,level13: 0.20 (0.06%)
droughtEnv,asymorphEco,TesiphonRace: 0.20 (0.06%)
droughtEnv,asymorphEco,TesiphonRace,GromeRace: 0.10 (0.03%)
droughtEnv,asymorphEco,TesiphonRace,GromeRace,level12: 0.10 (0.03%)
droughtEnv,asymorphEco,TesiphonRace,level11: 0.10 (0.03%)
droughtEnv,asymorphEco,TesiphonRace,level12: 0.10 (0.03%)
droughtEnv,asymorphEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
droughtEnv,asymorphEco,TesiphonRace,ReenuRace,level11: 0.10 (0.03%)
droughtEnv,asymorphEco,TorQuanRace: 0.70 (0.23%)
droughtEnv,asymorphEco,TorQuanRace,GromeRace: 0.40 (0.13%)
droughtEnv,asymorphEco,TorQuanRace,GromeRace,level11: 0.20 (0.06%)
droughtEnv,asymorphEco,TorQuanRace,GromeRace,level12: 0.20 (0.06%)
droughtEnv,asymorphEco,TorQuanRace,level11: 0.30 (0.10%)
droughtEnv,asymorphEco,TorQuanRace,level12: 0.30 (0.10%)
droughtEnv,asymorphEco,TorQuanRace,ReenuRace: 0.30 (0.10%)
droughtEnv,asymorphEco,TorQuanRace,ReenuRace,level11: 0.10 (0.03%)
droughtEnv,asymorphEco,TorQuanRace,ReenuRace,level12: 0.10 (0.03%)
droughtEnv,chitometallicEco: 5.00 (1.66%)
droughtEnv,chitometallicEco,EfreetRace: 0.90 (0.30%)
droughtEnv,chitometallicEco,EfreetRace,GromeRace: 0.40 (0.13%)
droughtEnv,chitometallicEco,EfreetRace,GromeRace,level11: 0.20 (0.06%)
droughtEnv,chitometallicEco,EfreetRace,GromeRace,level14: 0.20 (0.06%)
droughtEnv,chitometallicEco,EfreetRace,JaxRace: 0.30 (0.10%)
droughtEnv,chitometallicEco,EfreetRace,JaxRace,level11: 0.10 (0.03%)
droughtEnv,chitometallicEco,EfreetRace,JaxRace,level13: 0.20 (0.06%)
droughtEnv,chitometallicEco,EfreetRace,level11: 0.30 (0.10%)
droughtEnv,chitometallicEco,EfreetRace,level13: 0.30 (0.10%)
droughtEnv,chitometallicEco,EfreetRace,level14: 0.20 (0.06%)
droughtEnv,chitometallicEco,EfreetRace,ReenuRace: 0.20 (0.06%)
droughtEnv,chitometallicEco,EfreetRace,ReenuRace,level13: 0.10 (0.03%)
droughtEnv,chitometallicEco,ErebienRace: 2.50 (0.83%)
droughtEnv,chitometallicEco,ErebienRace,GromeRace: 0.70 (0.23%)
droughtEnv,chitometallicEco,ErebienRace,GromeRace,level11: 0.30 (0.10%)
droughtEnv,chitometallicEco,ErebienRace,GromeRace,level12: 0.30 (0.10%)
droughtEnv,chitometallicEco,ErebienRace,GromeRace,level13: 0.10 (0.03%)
droughtEnv,chitometallicEco,ErebienRace,JaxRace: 1.30 (0.43%)
droughtEnv,chitometallicEco,ErebienRace,JaxRace,level11: 0.30 (0.10%)
droughtEnv,chitometallicEco,ErebienRace,JaxRace,level12: 0.30 (0.10%)
droughtEnv,chitometallicEco,ErebienRace,JaxRace,level13: 0.20 (0.06%)
droughtEnv,chitometallicEco,ErebienRace,JaxRace,level14: 0.50 (0.16%)
droughtEnv,chitometallicEco,ErebienRace,level11: 0.90 (0.30%)
droughtEnv,chitometallicEco,ErebienRace,level12: 0.70 (0.23%)
droughtEnv,chitometallicEco,ErebienRace,level13: 0.30 (0.10%)
droughtEnv,chitometallicEco,ErebienRace,level14: 0.60 (0.20%)
droughtEnv,chitometallicEco,ErebienRace,ReenuRace: 0.50 (0.16%)
droughtEnv,chitometallicEco,ErebienRace,ReenuRace,level11: 0.30 (0.10%)
droughtEnv,chitometallicEco,ErebienRace,ReenuRace,level12: 0.10 (0.03%)
droughtEnv,chitometallicEco,ErebienRace,ReenuRace,level14: 0.10 (0.03%)
droughtEnv,chitometallicEco,GromeRace: 1.70 (0.56%)
droughtEnv,chitometallicEco,GromeRace,level11: 0.70 (0.23%)
droughtEnv,chitometallicEco,GromeRace,level12: 0.70 (0.23%)
droughtEnv,chitometallicEco,GromeRace,level13: 0.10 (0.03%)
droughtEnv,chitometallicEco,GromeRace,level14: 0.20 (0.06%)
droughtEnv,chitometallicEco,JaxRace: 2.10 (0.70%)
droughtEnv,chitometallicEco,JaxRace,level11: 0.70 (0.23%)
droughtEnv,chitometallicEco,JaxRace,level12: 0.30 (0.10%)
